Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-04,Uttarakhand,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-04,Uttarakhand,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Uttarakhand,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-04,Uttarakhand,Beetroot,34,39 - 43,41 - 56,1kg,N/A
2024-05-04,Uttarakhand,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-04,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-04,Uttarakhand,Amaranth Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-04,Uttarakhand,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-04,Uttarakhand,Ash gourd,18,21 - 23,22 - 30,1kg,N/A
2024-05-04,Uttarakhand,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-04,Uttarakhand,Banana Flower,19,22 - 24,23 - 31,1kg,N/A
2024-05-04,Uttarakhand,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-04,Uttarakhand,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-04,Uttarakhand,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttarakhand,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-04,Uttarakhand,Broad Beans,34,39 - 43,41 - 56,1kg,N/A
2024-05-04,Uttarakhand,Cabbage,18,21 - 23,22 - 30,1kg,N/A
2024-05-04,Uttarakhand,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-04,Uttarakhand,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttarakhand,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-04,Uttarakhand,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-04,Uttarakhand,Colocasia Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-04,Uttarakhand,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Uttarakhand,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-04,Uttarakhand,Corn,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttarakhand,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttarakhand,Dill Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-04,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-04,Uttarakhand,Brinjal,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttarakhand,Brinjal (Big),26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Uttarakhand,Elephant Yam,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Uttarakhand,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Uttarakhand,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-04,Uttarakhand,Garlic,155,178 - 197,186 - 256,1kg,N/A
2024-05-04,Uttarakhand,Ginger,107,123 - 136,128 - 177,1kg,N/A
2024-05-04,Uttarakhand,Onion Green,42,48 - 53,50 - 69,1kg,N/A
2024-05-04,Uttarakhand,Green Peas,49,56 - 62,59 - 81,1kg,N/A
2024-05-04,Uttarakhand,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttarakhand,Lemon (Lime),68,78 - 86,82 - 112,1kg,N/A
2024-05-04,Uttarakhand,Mango Raw,31,36 - 39,37 - 51,1kg,N/A
2024-05-04,Uttarakhand,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-04,Uttarakhand,Mushroom,81,93 - 103,97 - 134,1kg,N/A
