Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-16,Uttarakhand,Lemon (Lime),89,102 - 113,107 - 147,1kg,N/A
2024-05-16,Uttarakhand,Mango Raw,27,31 - 34,32 - 45,1kg,N/A
2024-05-16,Uttarakhand,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-16,Uttarakhand,Mushroom,90,104 - 114,108 - 149,1kg,N/A
2024-05-16,Uttarakhand,Mustard Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-16,Uttarakhand,Ladies Finger,47,54 - 60,56 - 78,1kg,N/A
2024-05-16,Uttarakhand,Pumpkin,20,23 - 25,24 - 33,1kg,N/A
2024-05-16,Uttarakhand,Radish,34,39 - 43,41 - 56,1kg,N/A
2024-05-16,Uttarakhand,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-16,Uttarakhand,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-16,Uttarakhand,Snake Gourd,38,44 - 48,46 - 63,1kg,N/A
2024-05-16,Uttarakhand,Sorrel Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-16,Uttarakhand,Spinach,12,14 - 15,14 - 20,1kg,N/A
2024-05-16,Uttarakhand,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-17,Uttarakhand,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-17,Uttarakhand,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-17,Uttarakhand,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-17,Uttarakhand,Green Chilli,66,76 - 84,79 - 109,1kg,N/A
2024-05-17,Uttarakhand,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-17,Uttarakhand,Potato,34,39 - 43,41 - 56,1kg,N/A
2024-05-17,Uttarakhand,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-17,Uttarakhand,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-17,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-17,Uttarakhand,Ash gourd,17,20 - 22,20 - 28,1kg,N/A
2024-05-17,Uttarakhand,Baby Corn,48,55 - 61,58 - 79,1kg,N/A
2024-05-17,Uttarakhand,Banana Flower,16,18 - 20,19 - 26,1kg,N/A
2024-05-17,Uttarakhand,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-17,Uttarakhand,Bitter Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-17,Uttarakhand,Broad Beans,71,82 - 90,85 - 117,1kg,N/A
2024-05-17,Uttarakhand,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-17,Uttarakhand,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-17,Uttarakhand,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-17,Uttarakhand,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-17,Uttarakhand,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-17,Uttarakhand,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-17,Uttarakhand,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-17,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-17,Uttarakhand,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-17,Uttarakhand,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-17,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-17,Uttarakhand,Dill Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-17,Uttarakhand,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Brinjal,38,44 - 48,46 - 63,1kg,N/A
2024-05-17,Uttarakhand,Brinjal (Big),36,41 - 46,43 - 59,1kg,N/A
2024-05-17,Uttarakhand,Elephant Yam,34,39 - 43,41 - 56,1kg,N/A
2024-05-17,Uttarakhand,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-17,Uttarakhand,French Beans,181,208 - 230,217 - 299,1kg,N/A
2024-05-17,Uttarakhand,Garlic,276,317 - 351,331 - 455,1kg,N/A
2024-05-17,Uttarakhand,Ginger,138,159 - 175,166 - 228,1kg,N/A
2024-05-17,Uttarakhand,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-17,Uttarakhand,Green Peas,43,49 - 55,52 - 71,1kg,N/A
2024-05-17,Uttarakhand,Ivy Gourd,29,33 - 37,35 - 48,1kg,N/A
2024-05-17,Uttarakhand,Lemon (Lime),93,107 - 118,112 - 153,1kg,N/A
2024-05-17,Uttarakhand,Mango Raw,29,33 - 37,35 - 48,1kg,N/A
2024-05-17,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-17,Uttarakhand,Mushroom,78,90 - 99,94 - 129,1kg,N/A
2024-05-17,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-17,Uttarakhand,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-17,Uttarakhand,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-17,Uttarakhand,Radish,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Uttarakhand,Snake Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-17,Uttarakhand,Sorrel Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-17,Uttarakhand,Spinach,14,16 - 18,17 - 23,1kg,N/A
2024-05-17,Uttarakhand,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-18,Uttarakhand,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-18,Uttarakhand,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-18,Uttarakhand,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-18,Uttarakhand,Green Chilli,66,76 - 84,79 - 109,1kg,N/A
2024-05-18,Uttarakhand,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-18,Uttarakhand,Potato,34,39 - 43,41 - 56,1kg,N/A
2024-05-18,Uttarakhand,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-18,Uttarakhand,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-18,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-18,Uttarakhand,Ash gourd,17,20 - 22,20 - 28,1kg,N/A
2024-05-18,Uttarakhand,Baby Corn,48,55 - 61,58 - 79,1kg,N/A
2024-05-18,Uttarakhand,Banana Flower,16,18 - 20,19 - 26,1kg,N/A
2024-05-18,Uttarakhand,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-18,Uttarakhand,Bitter Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-18,Uttarakhand,Broad Beans,71,82 - 90,85 - 117,1kg,N/A
2024-05-18,Uttarakhand,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-18,Uttarakhand,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-18,Uttarakhand,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-18,Uttarakhand,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-18,Uttarakhand,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-18,Uttarakhand,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-18,Uttarakhand,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-18,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-18,Uttarakhand,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-18,Uttarakhand,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-18,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-18,Uttarakhand,Dill Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-18,Uttarakhand,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Brinjal,38,44 - 48,46 - 63,1kg,N/A
2024-05-18,Uttarakhand,Brinjal (Big),36,41 - 46,43 - 59,1kg,N/A
2024-05-18,Uttarakhand,Elephant Yam,34,39 - 43,41 - 56,1kg,N/A
2024-05-18,Uttarakhand,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-18,Uttarakhand,French Beans,181,208 - 230,217 - 299,1kg,N/A
2024-05-18,Uttarakhand,Garlic,276,317 - 351,331 - 455,1kg,N/A
2024-05-18,Uttarakhand,Ginger,138,159 - 175,166 - 228,1kg,N/A
2024-05-18,Uttarakhand,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-18,Uttarakhand,Green Peas,43,49 - 55,52 - 71,1kg,N/A
2024-05-18,Uttarakhand,Ivy Gourd,29,33 - 37,35 - 48,1kg,N/A
2024-05-18,Uttarakhand,Lemon (Lime),93,107 - 118,112 - 153,1kg,N/A
2024-05-18,Uttarakhand,Mango Raw,29,33 - 37,35 - 48,1kg,N/A
2024-05-18,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-18,Uttarakhand,Mushroom,78,90 - 99,94 - 129,1kg,N/A
2024-05-18,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-18,Uttarakhand,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-18,Uttarakhand,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-18,Uttarakhand,Radish,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Uttarakhand,Snake Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-18,Uttarakhand,Sorrel Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-18,Uttarakhand,Spinach,14,16 - 18,17 - 23,1kg,N/A
2024-05-18,Uttarakhand,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-19,Uttarakhand,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-19,Uttarakhand,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-19,Uttarakhand,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-19,Uttarakhand,Green Chilli,66,76 - 84,79 - 109,1kg,N/A
2024-05-19,Uttarakhand,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-19,Uttarakhand,Potato,34,39 - 43,41 - 56,1kg,N/A
2024-05-19,Uttarakhand,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-19,Uttarakhand,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-19,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-19,Uttarakhand,Ash gourd,17,20 - 22,20 - 28,1kg,N/A
2024-05-19,Uttarakhand,Baby Corn,48,55 - 61,58 - 79,1kg,N/A
2024-05-19,Uttarakhand,Banana Flower,16,18 - 20,19 - 26,1kg,N/A
2024-05-19,Uttarakhand,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-19,Uttarakhand,Bitter Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-19,Uttarakhand,Broad Beans,71,82 - 90,85 - 117,1kg,N/A
2024-05-19,Uttarakhand,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-19,Uttarakhand,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-19,Uttarakhand,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-19,Uttarakhand,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-19,Uttarakhand,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-19,Uttarakhand,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-19,Uttarakhand,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-19,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-19,Uttarakhand,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-19,Uttarakhand,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-19,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-19,Uttarakhand,Dill Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-19,Uttarakhand,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Brinjal,38,44 - 48,46 - 63,1kg,N/A
2024-05-19,Uttarakhand,Brinjal (Big),36,41 - 46,43 - 59,1kg,N/A
2024-05-19,Uttarakhand,Elephant Yam,34,39 - 43,41 - 56,1kg,N/A
2024-05-19,Uttarakhand,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-19,Uttarakhand,French Beans,181,208 - 230,217 - 299,1kg,N/A
2024-05-19,Uttarakhand,Garlic,276,317 - 351,331 - 455,1kg,N/A
2024-05-19,Uttarakhand,Ginger,138,159 - 175,166 - 228,1kg,N/A
2024-05-19,Uttarakhand,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-19,Uttarakhand,Green Peas,43,49 - 55,52 - 71,1kg,N/A
2024-05-19,Uttarakhand,Ivy Gourd,29,33 - 37,35 - 48,1kg,N/A
2024-05-19,Uttarakhand,Lemon (Lime),93,107 - 118,112 - 153,1kg,N/A
2024-05-19,Uttarakhand,Mango Raw,29,33 - 37,35 - 48,1kg,N/A
2024-05-19,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-19,Uttarakhand,Mushroom,78,90 - 99,94 - 129,1kg,N/A
2024-05-19,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-19,Uttarakhand,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-19,Uttarakhand,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-19,Uttarakhand,Radish,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Uttarakhand,Snake Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-19,Uttarakhand,Sorrel Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-19,Uttarakhand,Spinach,14,16 - 18,17 - 23,1kg,N/A
2024-05-19,Uttarakhand,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Onion Big,23,26 - 29,28 - 38,1kg,N/A
2024-05-20,Uttarakhand,Onion Small,35,40 - 44,42 - 58,1kg,N/A
2024-05-20,Uttarakhand,Tomato,26,30 - 33,31 - 43,1kg,N/A
2024-05-20,Uttarakhand,Green Chilli,61,70 - 77,73 - 101,1kg,N/A
2024-05-20,Uttarakhand,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Potato,35,40 - 44,42 - 58,1kg,N/A
2024-05-20,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-20,Uttarakhand,Amaranth Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-20,Uttarakhand,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-20,Uttarakhand,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-20,Uttarakhand,Banana Flower,18,21 - 23,22 - 30,1kg,N/A
2024-05-20,Uttarakhand,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-20,Uttarakhand,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-20,Uttarakhand,Bottle Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-20,Uttarakhand,Butter Beans,51,59 - 65,61 - 84,1kg,N/A
2024-05-20,Uttarakhand,Broad Beans,66,76 - 84,79 - 109,1kg,N/A
2024-05-20,Uttarakhand,Cabbage,28,32 - 36,34 - 46,1kg,N/A
2024-05-20,Uttarakhand,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-20,Uttarakhand,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-20,Uttarakhand,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-20,Uttarakhand,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Uttarakhand,Colocasia,29,33 - 37,35 - 48,1kg,N/A
2024-05-20,Uttarakhand,Coriander Leaves,6,7 - 8,7 - 10,1kg,N/A
2024-05-20,Uttarakhand,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Uttarakhand,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-20,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-20,Uttarakhand,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-20,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-20,Uttarakhand,Brinjal,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Brinjal (Big),31,36 - 39,37 - 51,1kg,N/A
2024-05-20,Uttarakhand,Elephant Yam,39,45 - 50,47 - 64,1kg,N/A
2024-05-20,Uttarakhand,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Uttarakhand,French Beans,175,201 - 222,210 - 289,1kg,N/A
2024-05-20,Uttarakhand,Garlic,270,311 - 343,324 - 446,1kg,N/A
2024-05-20,Uttarakhand,Ginger,136,156 - 173,163 - 224,1kg,N/A
2024-05-20,Uttarakhand,Onion Green,40,46 - 51,48 - 66,1kg,N/A
2024-05-20,Uttarakhand,Green Peas,45,52 - 57,54 - 74,1kg,N/A
2024-05-20,Uttarakhand,Ivy Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Uttarakhand,Lemon (Lime),94,108 - 119,113 - 155,1kg,N/A
2024-05-20,Uttarakhand,Mango Raw,27,31 - 34,32 - 45,1kg,N/A
2024-05-20,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-20,Uttarakhand,Mushroom,94,108 - 119,113 - 155,1kg,N/A
2024-05-20,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Uttarakhand,Ladies Finger,40,46 - 51,48 - 66,1kg,N/A
2024-05-20,Uttarakhand,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-20,Uttarakhand,Radish,33,38 - 42,40 - 54,1kg,N/A
2024-05-20,Uttarakhand,Ridge Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-20,Uttarakhand,Snake Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Uttarakhand,Sorrel Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-20,Uttarakhand,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-20,Uttarakhand,Sweet Potato,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Uttarakhand,Onion Big,23,26 - 29,28 - 38,1kg,N/A
2024-05-21,Uttarakhand,Onion Small,35,40 - 44,42 - 58,1kg,N/A
2024-05-21,Uttarakhand,Tomato,26,30 - 33,31 - 43,1kg,N/A
2024-05-21,Uttarakhand,Green Chilli,61,70 - 77,73 - 101,1kg,N/A
2024-05-21,Uttarakhand,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Uttarakhand,Potato,35,40 - 44,42 - 58,1kg,N/A
2024-05-21,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-21,Uttarakhand,Amaranth Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-21,Uttarakhand,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-21,Uttarakhand,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-21,Uttarakhand,Banana Flower,18,21 - 23,22 - 30,1kg,N/A
2024-05-21,Uttarakhand,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-21,Uttarakhand,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-21,Uttarakhand,Bottle Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-21,Uttarakhand,Butter Beans,51,59 - 65,61 - 84,1kg,N/A
2024-05-21,Uttarakhand,Broad Beans,66,76 - 84,79 - 109,1kg,N/A
2024-05-21,Uttarakhand,Cabbage,28,32 - 36,34 - 46,1kg,N/A
2024-05-21,Uttarakhand,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-21,Uttarakhand,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-21,Uttarakhand,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-21,Uttarakhand,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Uttarakhand,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Uttarakhand,Colocasia,29,33 - 37,35 - 48,1kg,N/A
2024-05-21,Uttarakhand,Coriander Leaves,6,7 - 8,7 - 10,1kg,N/A
2024-05-21,Uttarakhand,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Uttarakhand,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-21,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-21,Uttarakhand,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-21,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Uttarakhand,Brinjal,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Uttarakhand,Brinjal (Big),31,36 - 39,37 - 51,1kg,N/A
2024-05-21,Uttarakhand,Elephant Yam,39,45 - 50,47 - 64,1kg,N/A
2024-05-21,Uttarakhand,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Uttarakhand,French Beans,175,201 - 222,210 - 289,1kg,N/A
2024-05-21,Uttarakhand,Garlic,270,311 - 343,324 - 446,1kg,N/A
2024-05-21,Uttarakhand,Ginger,136,156 - 173,163 - 224,1kg,N/A
2024-05-21,Uttarakhand,Onion Green,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Uttarakhand,Green Peas,45,52 - 57,54 - 74,1kg,N/A
2024-05-21,Uttarakhand,Ivy Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Uttarakhand,Lemon (Lime),94,108 - 119,113 - 155,1kg,N/A
2024-05-21,Uttarakhand,Mango Raw,27,31 - 34,32 - 45,1kg,N/A
2024-05-21,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-21,Uttarakhand,Mushroom,94,108 - 119,113 - 155,1kg,N/A
2024-05-21,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Uttarakhand,Ladies Finger,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Uttarakhand,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-21,Uttarakhand,Radish,33,38 - 42,40 - 54,1kg,N/A
2024-05-21,Uttarakhand,Ridge Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Uttarakhand,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-21,Uttarakhand,Snake Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Uttarakhand,Sorrel Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-21,Uttarakhand,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-21,Uttarakhand,Sweet Potato,40,46 - 51,48 - 66,1kg,N/A
2024-05-22,Uttarakhand,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-22,Uttarakhand,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-22,Uttarakhand,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-22,Uttarakhand,Green Chilli,64,74 - 81,77 - 106,1kg,N/A
2024-05-22,Uttarakhand,Beetroot,37,43 - 47,44 - 61,1kg,N/A
2024-05-22,Uttarakhand,Potato,35,40 - 44,42 - 58,1kg,N/A
2024-05-22,Uttarakhand,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-22,Uttarakhand,Amaranth Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-22,Uttarakhand,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-22,Uttarakhand,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-22,Uttarakhand,Baby Corn,49,56 - 62,59 - 81,1kg,N/A
2024-05-22,Uttarakhand,Banana Flower,20,23 - 25,24 - 33,1kg,N/A
2024-05-22,Uttarakhand,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-22,Uttarakhand,Bitter Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-22,Uttarakhand,Bottle Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-22,Uttarakhand,Butter Beans,48,55 - 61,58 - 79,1kg,N/A
2024-05-22,Uttarakhand,Broad Beans,63,72 - 80,76 - 104,1kg,N/A
2024-05-22,Uttarakhand,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-22,Uttarakhand,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-22,Uttarakhand,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-22,Uttarakhand,Cluster beans,42,48 - 53,50 - 69,1kg,N/A
2024-05-22,Uttarakhand,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-22,Uttarakhand,Colocasia Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-22,Uttarakhand,Colocasia,29,33 - 37,35 - 48,1kg,N/A
2024-05-22,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-22,Uttarakhand,Corn,33,38 - 42,40 - 54,1kg,N/A
2024-05-22,Uttarakhand,Cucumber,27,31 - 34,32 - 45,1kg,N/A
2024-05-22,Uttarakhand,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-22,Uttarakhand,Dill Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-22,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-22,Uttarakhand,Brinjal,35,40 - 44,42 - 58,1kg,N/A
